x1,x2,x3,t
-9.333268,-7.034055,30.696905,6.020000
-9.099302,-6.724773,30.514593,6.030000
-8.859467,-6.442717,30.294771,6.040000
-8.617013,-6.189826,30.041983,6.050000
-8.375027,-5.967285,29.760807,6.060000
-8.136383,-5.775618,29.455737,6.070000
-7.903704,-5.614788,29.131091,6.080000
-7.679335,-5.484295,28.790947,6.090000
-7.465333,-5.383290,28.439107,6.100000
-7.263468,-5.310665,28.079074,6.110000
-7.075222,-5.265145,27.714053,6.120000
-6.901815,-5.245361,27.346958,6.130000
-6.744216,-5.249916,26.980439,6.140000
-6.603169,-5.277434,26.616897,6.150000
-6.479220,-5.326598,26.258524,6.160000
-6.372742,-5.396176,25.907329,6.170000
-6.283960,-5.485037,25.565166,6.180000
-6.212973,-5.592162,25.233769,6.190000
-6.159783,-5.716639,24.914777,6.200000
-6.124306,-5.857662,24.609760,6.210000
-6.106396,-6.014519,24.320241,6.220000
-6.105858,-6.186572,24.047718,6.230000
-6.122455,-6.373243,23.793679,6.240000
-6.155922,-6.573990,23.559620,6.250000
-6.205967,-6.788277,23.347054,6.260000
-6.272275,-7.015555,23.157519,6.270000
-6.354506,-7.255222,22.992585,6.280000
-6.452290,-7.506599,22.853854,6.290000
-6.565226,-7.768891,22.742955,6.300000
-6.692866,-8.041151,22.661538,6.310000
-6.834705,-8.322247,22.611257,6.320000
-6.990169,-8.610822,22.593747,6.330000
-7.158599,-8.905257,22.610598,6.340000
-7.339226,-9.203637,22.663314,6.350000
-7.531161,-9.503722,22.753269,6.360000
